energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.667,130.019,0.776,pop,-6.622,0.0761,0.618,"Charli xcx, Billie Eilish",4,0.0983,85,Guess featuring Billie Eilish,Today's Top Hits,3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,2024-08-01,0.3,3ThlxfLSy4bfKzxWqmC7VN,1,7,145219,0.0146,3WOhcATHxK2SLNeP5W3v1v,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.586,107.071,0.669,pop,-6.073,0.104,0.579,Sabrina Carpenter,4,0.054,88,Please Please Please,Today's Top Hits,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,2024-06-06,0,5bBaoign62r1i7OV8w7mi9,1,9,186365,0.274,5N3hjp1WNayUPZrA8kJmJP,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.806,104.032,0.608,pop,-3.443,0.191,0.587,Tate McRae,4,0.0486,79,2 hands,Today's Top Hits,1f18HzFpegqvH4ibGJyeMJ,2 hands,2024-11-14,0,2BdJwrx2wMJi7x06wWkUFg,1,1,181821,0.121,1f18HzFpegqvH4ibGJyeMJ,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.709,81.012,0.722,pop,-4.95,0.0804,0.604,Shaboozey,4,0.0273,86,A Bar Song (Tipsy),Today's Top Hits,2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),2024-04-12,0,6egBeCLeGITzGSo5VyRjwZ,1,9,171292,0.0633,2FQrifJ1N335Ljm3TjTVVf,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.757,139.982,0.742,pop,-4.981,0.305,0.957,Chappell Roan,4,0.0421,88,The Rise and Fall of a Midwest Princess,Today's Top Hits,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,2023-09-22,0,0EiI8ylL0FmWWpgHVTsZjZ,1,6,184841,0.0187,4xdBrk0nFZaP54vvZj0yx7,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.917,100.987,0.562,pop,-2.768,0.488,0.501,Lady Gaga,4,0.117,86,Disease,Today's Top Hits,19KlZwqlT3fguP2BeHF1Q1,Disease,2024-10-25,0,52BWvTRMsPqjHzrbQomgwP,0,11,229997,0.0513,19KlZwqlT3fguP2BeHF1Q1,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.787,109.939,0.734,pop,-3.951,0.312,0.672,LISA,4,0.116,82,Moonlit Floor (Kiss Me),Today's Top Hits,5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),2024-10-08,0,1OGxb1Z5KDBVOwDtyKu8wz,0,5,155757,0.126,5G345YEhvleYxQLfYUlEFv,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.843,122.064,0.619,pop,-5.348,0.164,0.746,Morgan Wallen,4,0.0284,86,Love Somebody,Today's Top Hits,7hR22TOX3RorxJPcsz5Wbo,Love Somebody,2024-10-18,0.000118,0TxewlKVKdpP18dGg279ep,0,5,204829,0.00948,7hR22TOX3RorxJPcsz5Wbo,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.406,115.94,0.53,pop,-7.507,0.133,0.338,Gracie Abrams,3,0.033,90,The Secret of Us,Today's Top Hits,51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",2024-06-21,0,56bdWeO40o3WfAD2Lja4dl,1,10,157147,0.656,51rfRCiUSvxXlCSCfIztBy,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.782,119.992,0.727,pop,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4,0.042,86,Move,Today's Top Hits,1BJJbSX6muJVF2AK7uH1x4,Move,2024-06-07,0.336,4M8ThNHbNjda2cPwL8XZHS,0,8,177599,0.0563,1BJJbSX6muJVF2AK7uH1x4,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.812,80.09,0.505,pop,-3.986,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4,0.461,88,CHROMAKOPIA,Today's Top Hits,3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",2024-10-28,0,0U28P0QVB1QRxpqp5IHOlH,1,1,255916,0.285,3tFed7YsjGnIfxeLEQwx3R,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.76,103.969,0.701,pop,-5.478,0.185,0.69,Sabrina Carpenter,4,0.0285,90,Espresso,Today's Top Hits,2qSkIjg1o9h3YT9RAgYN75,Espresso,2024-04-12,6.54E-05,5quMTd5zeI9yW5UDua8wS4,1,0,175459,0.107,2qSkIjg1o9h3YT9RAgYN75,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.725,116.988,0.894,pop,-4.984,0.0815,0.838,JENNIE,4,0.0432,89,Mantra,Today's Top Hits,2CspwnypzT7rcWI9RfsoSb,Mantra,2024-10-10,1.15E-05,3e5tDT1kfaAGx10yOjIDgW,0,10,136627,0.00434,2CspwnypzT7rcWI9RfsoSb,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.563,105.008,0.833,pop,-5.593,0.139,0.343,"Rauw Alejandro, Bad Bunny",4,0.204,82,Cosa Nuestra,Today's Top Hits,0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,2024-11-15,1.27E-05,0aX0UXrHG2ceYIxTQcqJdA,0,4,182857,0.528,0l0vcZMU7AOeQmUIREoI2U,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.628,119.98,0.757,pop,-6.715,0.221,0.321,Don Toliver,4,0.101,85,HARDSTONE PSYCHO,Today's Top Hits,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,2024-06-14,0.0209,0Kzb3u6kMnOJOZXYFSk33F,0,4,217333,0.189,2c7z5oRcPBbqRaBY2mLWcf,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.855,127.986,0.638,pop,-4.86,0.245,0.731,"Post Malone, Morgan Wallen",4,0.0264,84,I Had Some Help,Today's Top Hits,7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),2024-05-10,0,1woYXxyyxTQJ0E0AhZE6mj,1,7,178206,0.00757,7221xIgOnuakPdLqT0F3nP,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.62,117.038,0.741,pop,-5.505,0.0398,0.934,Hozier,4,0.0412,77,Unheard,Today's Top Hits,4IadxL6BUymXlh8RCJJu7T,Too Sweet,2024-03-22,0.000809,1KZC0cX0qq6hodR9YVgh9F,1,10,251424,0.0295,4IadxL6BUymXlh8RCJJu7T,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.339,97.989,0.705,pop,-10.612,0.12,0.457,The Marías,4,0.0278,84,Submarine,Today's Top Hits,3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,2024-05-31,0.0814,03guxdOi12XJbnvxvxbpwG,1,7,236907,0.552,3siwsiaEoU4Kuuc9WKMUy5,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.651,112.648,0.694,pop,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3,0.0784,93,Tu Boda,Today's Top Hits,1cOboCuWYI2osTOfolMRS6,Tu Boda,2024-09-26,1.36E-05,60cQzWfmdg4hyDXrpW6kOA,1,6,225881,0.496,1cOboCuWYI2osTOfolMRS6,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.601,123.994,0.635,pop,-6.129,0.11,0.332,Myles Smith,4,0.0295,88,Stargazing,Today's Top Hits,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,2024-05-10,0,3VNxRarx9HUI5w7DHv0TBj,0,1,172533,0.246,3Vr3zh0r7ALn8VLqCiRR10,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.691,167.029,0.836,pop,-4.222,0.282,0.703,"GloRilla, Sexyy Red",4,0.363,70,WHATCHU KNO ABOUT ME (with Sexyy Red),Today's Top Hits,4VI2Y5xg4gYynQqNQNQbTN,WHATCHU KNO ABOUT ME (with Sexyy Red),2024-10-10,0,2PzoiaGTcK3NfnMgHFd7QC,1,1,149461,0.00586,4VI2Y5xg4gYynQqNQNQbTN,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.646,115.842,0.645,pop,-8.334,0.074,0.295,Ariana Grande,4,0.0427,81,eternal sunshine,Today's Top Hits,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),2024-03-08,3.04E-05,71PfP4E9roOXAudea1aPGw,1,5,228639,0.0615,46kspZSY3aKmwQe7O77fCC,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.471,105.029,0.472,pop,-5.692,0.14,0.219,Benson Boone,3,0.0603,85,Beautiful Things,Today's Top Hits,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,2024-01-18,0,29aSKB1qPEbN0Qf9OPSQpw,1,10,180304,0.151,6tNQ70jh4OwmPGpYy6R2o9,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.709,194.055,0.744,pop,-5.778,0.0847,0.712,"Myke Towers, benny blanco",4,0.284,84,LA PANTERA NEGRA (DELUXE),Today's Top Hits,0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),2024-10-17,0,3pkIK8SI5mcUUjb9jNjx4H,0,6,130880,0.0501,0qeIFEGRQqHoaJtLCl0U73,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.904,167.033,0.739,pop,-2.655,0.0948,0.788,KATSEYE,4,0.0442,85,Touch,Today's Top Hits,6aJn7Cst74cj4lNIiPRgav,Touch,2024-07-26,1.03E-05,1hjqg3TuQ2YqooaPhxHwdv,0,5,129883,0.549,6aJn7Cst74cj4lNIiPRgav,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.604,159.92,0.561,pop,-4.409,0.104,0.242,Teddy Swims,3,0.0337,89,I've Tried Everything But Therapy (Part 1),Today's Top Hits,17phhZDn6oGtzMe56NuWvj,Lose Control,2023-09-15,1.90E-05,7nacKlk586eLRBSIsrk9DB,1,9,210689,0.199,17phhZDn6oGtzMe56NuWvj,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.668,90.969,0.646,pop,-5.203,0.212,0.64,Mark Ambor,4,0.0282,82,Belong Together,Today's Top Hits,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,2024-02-16,0,3PlCMwyq6nuQYtoYproV1o,1,2,148318,0.491,5uQ7de4EWjb3rkcFxyEOpu,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.668,128.027,0.924,pop,-6.795,0.0678,0.787,KAROL G,4,0.0469,93,Si Antes Te Hubiera Conocido,Today's Top Hits,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,2024-06-21,0.000594,5ylbxH7EqpsmHZCRuiYewS,1,11,195824,0.446,6WatFBLVB0x077xWeoVc2k,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.454,159.982,0.689,pop,-7.643,0.0707,0.912,Djo,4,0.0584,89,DECIDE,Today's Top Hits,3qhlB30KknSejmIvZZLjOD,End of Beginning,2022-09-16,0.00259,4JDXBZdRPId4devseaAOKH,1,2,159246,0.0351,3qhlB30KknSejmIvZZLjOD,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.386,192.004,0.504,pop,-10.976,0.0961,0.281,"Taylor Swift, Post Malone",4,0.0308,84,THE TORTURED POETS DEPARTMENT,Today's Top Hits,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),2024-04-18,1.53E-05,1Mo4aZ8pdj6L1jx8zSwJnt,1,11,228965,0.502,2OzhQlSqBEmt7hmkYxfT6m,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.681,155.079,0.56,pop,-6.304,0.106,0.388,"Omar Courtz, De La Rose",4,0.244,89,PRIMERA MUSA,Today's Top Hits,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,2024-09-20,0,3C5uwdRE5QRoXSGPPxpDd4,0,6,223320,0.103,0Sr7ssScx54yxdM2ols7nW,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.472,101.061,0.898,pop,-7.001,0.141,0.214,Kendrick Lamar,4,0.0776,88,Not Like Us,Today's Top Hits,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,2024-05-04,0,5JjnoGJyOxfSZUZtk2rRwZ,1,1,274192,0.0107,6AI3ezQ4o3HUoP6Dhudph3,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.711,146.921,0.487,pop,-4.22,0.152,0.317,Jin,4,0.0322,85,Happy,Today's Top Hits,4p7DTkyrKqT98xlIwYYfXz,Running Wild,2024-11-15,0,0fKlaQuBMQYFo5aIFoGIXt,1,8,151647,0.000175,4p7DTkyrKqT98xlIwYYfXz,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.712,91.98,0.848,pop,-3.574,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",4,0.0981,84,+57,Today's Top Hits,3mg9jYNC1NihbthlglzrWP,+57,2024-11-08,0,5TT8KluomuelzsNF7T1U37,0,1,298131,0.221,3mg9jYNC1NihbthlglzrWP,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.645,114.933,0.882,pop,-7.233,0.057,0.788,Ndotz,4,0.0601,87,Embrace It,Today's Top Hits,0io16MKpbeDIdYzmGpQaES,Embrace It,2024-08-23,4.13E-05,0mV9Pfr1GfoZLkp1EAau9P,1,1,104419,0.475,0io16MKpbeDIdYzmGpQaES,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.872,184.115,0.466,pop,-3.344,0.121,0.806,Linkin Park,4,0.0336,89,The Emptiness Machine,Today's Top Hits,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,2024-09-05,0,6W0Gabv5f3ugnckc6YgfJQ,1,7,190428,0.0156,2PnlsTsOTLE5jnBnNe2K0A,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.756,116.034,0.66,pop,-3.743,0.193,0.838,Jimin,4,0.032,92,MUSE,Today's Top Hits,7tI8dRuH2Yc6RuoTjxo4dU,Who,2024-07-19,0,15XcLhiVMlSOipUddTNDnr,0,0,170888,0.00289,7tI8dRuH2Yc6RuoTjxo4dU,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.508,147.125,0.579,rock,-9.484,0.0575,0.609,Eagles,4,0.027,81,Hotel California (2013 Remaster),Rock Classics,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,1976-12-08,0.000494,2widuo17g5CEC66IbzveRu,1,2,391376,0.00574,40riOy7x9W7GXjyGp4pjAv,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.89,133.52,0.502,rock,-5.175,0.217,0.259,AC/DC,4,0.0364,83,The Razors Edge,Rock Classics,57bgtoPSgt236HzfBOd8kj,Thunderstruck,1990-09-24,0.0117,4vu7F6h90Br1ZtYYaqfITy,1,4,292880,0.000147,57bgtoPSgt236HzfBOd8kj,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.446,123.596,0.743,rock,-7.807,0.337,0.278,The White Stripes,4,0.0683,82,Elephant,Rock Classics,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,2003-04-01,0.118,6D9urpsOWWKtYvF6PaorGE,0,4,232107,0.0039,3dPQuX8Gs42Y7b454ybpMR,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.43,91.844,0.515,rock,-9.935,0.129,0.104,Radiohead,4,0.0372,86,Pablo Honey,Rock Classics,70LcF31zb1H0PyJoS1Sx1r,Creep,1993-02-22,0.000133,3gBVdu4a1MMJVMy6vwPEb8,1,7,238640,0.0097,70LcF31zb1H0PyJoS1Sx1r,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.824,120.125,0.5,rock,-5.846,0.0916,0.539,Nirvana,4,0.0388,76,Nevermind (Remastered),Rock Classics,4P5KoWXOxwuobLmHXLMobV,Come As You Are,1991-09-26,0.00161,2guirTSEqLizK7j9i1MTTZ,0,4,218920,0.00016,4P5KoWXOxwuobLmHXLMobV,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.767,96.483,0.592,rock,-2.788,0.127,0.328,Red Hot Chili Peppers,4,0.027,81,Californication (Deluxe Edition),Rock Classics,48UPSzbZjgc449aqz8bxox,Californication,1999-06-08,0.00165,2Y9IRtehByVkegoD7TcLfi,0,9,329733,0.0021,48UPSzbZjgc449aqz8bxox,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.952,125.304,0.445,rock,-5.321,0.112,0.624,Guns N' Roses,4,0.0522,84,Appetite For Destruction,Rock Classics,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,1987-07-21,0.0843,28yHV3Gdg30AiB8h8em1eW,1,6,356067,0.09,7snQQk1zcKl8gZ92AnueZW,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.795,158.691,0.464,rock,-9.267,0.399,0.612,The Rolling Stones,4,0.0926,81,Aftermath,Rock Classics,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",1966-04-15,0.00244,72qrnM4yUNMDDlWiqKc8iY,1,1,202267,0.0493,63T7DJ1AFDD6Bn8VzG6JE8,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.492,120.151,0.828,rock,-9.744,0.128,0.789,Fleetwood Mac,4,0.0276,84,Rumours (Super Deluxe),Rock Classics,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,1977-02-04,0.00428,0BwWUstDMUbgq2NYONRqlu,1,0,257800,0.0644,0ofHAoxe9vBkTCp2UQIavz,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.881,158.066,0.413,rock,-5.541,0.0805,0.364,Foo Fighters,4,0.0367,81,The Colour And The Shape,Rock Classics,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,1997-05-20,0.000308,30ly6F6Xl0TKmyBCU50Khv,0,11,250547,5.99E-05,5UWwZ5lm5PKu6eKsHAGxOk,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.716,94.379,0.535,rock,-5.025,0.659,0.901,Joan Jett & the Blackhearts,4,0.0431,77,I Love Rock 'N' Roll (Expanded Edition),Rock Classics,2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,1981-11-18,0,555qwe1qUgLdee80TZ2CQt,1,4,175173,0.326,2Cdvbe2G4hZsnhNMKyGrie,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.322,93.503,0.475,rock,-10.687,0.11,0.387,Kansas,4,0.0283,79,Point Of Know Return (Expanded Edition),Rock Classics,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,1977-01-01,0.00056,6oU298pdPTCQnMx1PYwyUA,1,7,206267,0.367,6zeE5tKyr8Nu882DQhhSQI,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.394,104.114,0.693,rock,-15.882,0.247,0.721,Pink Floyd,4,0.0428,74,The Wall,Rock Classics,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",1979-11-30,0.000694,5Dbax7G8SWrP9xyzkOvy2F,1,0,238747,0.0782,4gMgiXfqyzZLMhsksGmbQV,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.899,152.445,0.475,rock,-4.321,0.14,0.603,Bon Jovi,4,0.0637,72,Bon Jovi,Rock Classics,0X1sqQ652p1sceKM2nJlIJ,Runaway,1984-01-23,1.91E-05,1UUOBzIHw0noiRGRpbt3sz,0,9,230667,0.00375,0X1sqQ652p1sceKM2nJlIJ,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.943,85.064,0.442,rock,-3.205,0.091,0.781,Green Day,4,0.0602,80,Dookie,Rock Classics,6L89mwZXSOwYl76YXfX13s,Basket Case,1994-02-01,8.71E-06,4uG8q3GPuWHQlRbswMIRS6,1,3,181533,0.00293,6L89mwZXSOwYl76YXfX13s,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.345,84.581,0.559,rock,-13.496,0.141,0.458,Red Hot Chili Peppers,4,0.0459,82,Blood Sugar Sex Magik (Deluxe Edition),Rock Classics,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,1991-09-24,0.000105,30Perjew8HyGkdSmqguYyg,1,4,264307,0.0576,3d9DChrdc6BOeFsbrZ3Is0,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.814,147.193,0.673,rock,-5.411,0.343,0.728,Billy Idol,4,0.0367,70,Billy Idol,Rock Classics,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,1982-01-01,0.00293,5ebh0MxkqELmk50xHj2b4k,1,9,252200,0.0134,1gzIbdFnGJ226LTl0Cn2SX,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.767,127.361,0.532,rock,-5.509,0.39,0.755,AC/DC,4,0.0574,81,Back In Black,Rock Classics,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,1980-07-25,0.000513,6mUdeDZCsExyJLMdAfDuwh,1,7,210173,0.00287,2SiXAy7TuUkycRVbbWDEpo,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.863,136.302,0.723,rock,-7.89,0.128,0.931,The Rolling Stones,4,0.0338,76,Out Of Our Heads,Rock Classics,2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,1965-07-30,0.0317,2Q5MwpTmtjscaS34mJFXQQ,1,2,222813,0.0383,2PzU4IB8Dr6mxV3lHuaG34,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.449,100.456,0.486,rock,-10.298,0.54,0.549,David Bowie,4,0.0267,76,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),Rock Classics,0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,1972-06-06,2.23E-06,48D1hRORqJq52qsnUYZX56,1,5,254293,0.166,0pQskrTITgmCMyr85tb9qq,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.902,89.74,0.412,rock,-11.6,0.405,0.422,Led Zeppelin,4,0.405,72,Led Zeppelin II (1994 Remaster),Rock Classics,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,1969-10-22,0.131,70lQYZtypdCALtFVlQAcvx,1,9,333893,0.0484,0hCB0YR03f6AmQaHbwWDe8,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.722,103.886,0.55,rock,-11.729,0.11,0.716,The Doors,4,0.0283,70,L.A. Woman,Rock Classics,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,1971-04-19,0.0129,7IKUTIc9UWuVngyGPtqNHS,0,11,434720,0.25,14XWXWv5FoCbFzLksawpEe,classic,audio_features,37i9dQZF1DWXRqgorJj26U
0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,4,0.0761,77,Ten,Rock Classics,6QewNVIDKdSl8Y3ycuHIei,Even Flow,1991-08-27,4.54E-06,5B4PYA7wNN4WdEXdIJu58a,0,10,292581,0.00178,6QewNVIDKdSl8Y3ycuHIei,classic,audio_features,37i9dQZF1DWXRqgorJj26U
